id;Magasin;Code communication;Référence commande;Référence commande externe;Référence pré commande;Configuration commande externe;Date commande;Date livraison;Date validation;Date de début de validation;Date de fin de validation;Statut;Créée par;Validée par;Fournisseur;Nom;Prénom;Titre;Adresse 1;Adresse 2;Adresse 3;Code postal;Ville;Pays;Téléphone 1;Téléphone 2;Fax;Email;Entreprise;Numéro T.V.A. intra.;A.P.E.;SIRET;SIREN;Historique;Type commande;supplier.is_central;Fournisseur centrale
f45eabe2-f532-4bb8-ae10-ed255af009cf;110;;30333935;CMD LC DPH;;;20/01/2026 12:49:46;20/01/2026;20/01/2026 12:55:38;;;en attente de livraison;ajbrindou;ajbrindou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
f3a59c7a-8fc5-416c-bad7-49b470ff23f9;110;;13275426;CMD LC LIQUIDE SIROP & JUS;;;20/01/2026 11:52:56;20/01/2026;20/01/2026 12:41:36;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
3b525d10-af85-46e0-b5b7-f38881958442;110;;89157214;CMD LC EPICERIE;;;20/01/2026 11:01:56;20/01/2026;20/01/2026 11:11:06;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
b2e42e84-e932-46e9-b1ff-419bf79d9ff6;110;;59887504;CMD LC DPH;;;20/01/2026 10:46:39;20/01/2026;20/01/2026 11:01:35;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
d0efd427-6ef4-4df7-aee0-fa810dc51ff8;110;;27966484;CMD LC DPH;;;20/01/2026 10:43:50;20/01/2026;20/01/2026 10:46:22;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
49568a36-2890-44f2-ae23-26cd732ac536;110;;56285749;CMD LC LIQUIDE;;;20/01/2026 10:27:15;20/01/2026;20/01/2026 10:43:49;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
41ebf2ca-d742-4adf-ab3a-c60dd738e6f5;110;;21298341;CMD LD SACHET 20/01/2026;;;20/01/2026 10:26:37;20/01/2026;20/01/2026 10:30:48;;;en attente de livraison;jnzue;jnzue;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
c44ee662-b4a7-4c2a-b77c-167d23412975;110;;15699219;CMD LC FRUITS & LEGUMES;;;20/01/2026 10:15:21;20/01/2026;20/01/2026 10:26:29;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
6a7c25ef-92ec-481a-bb09-c30df02fc19e;110;;11953685;CMD LC SAURISSERIE;;;20/01/2026 10:12:59;20/01/2026;20/01/2026 10:15:22;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
f5ec99fc-4737-4c12-9e4b-29bcc8cbe3b1;110;;95863989;CMD LC CHARCUTERIE;;;20/01/2026 10:02:58;20/01/2026;20/01/2026 10:13:33;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
3d5ce755-cc75-4a16-93aa-13399934ef10;110;;17433425;CMD LC FROMAGE COUPE;;;20/01/2026 10:02:25;20/01/2026;20/01/2026 10:05:38;;;en attente de livraison;vkouamalan;vkouamalan;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
f4976552-3b94-4f43-8cdd-497cfe37f918;110;;13406729;CMD LC DPH;;;20/01/2026 09:41:54;20/01/2026;20/01/2026 10:03:33;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
a59e32a7-1f8a-4b3e-ab04-46ebc068a0a3;110;;83814570;CMD LC SURGELE;;;20/01/2026 09:24:30;20/01/2026;20/01/2026 09:42:17;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
989e3c27-a347-4ad5-a15a-8c6af33093aa;110;;14998672;CMD LC CREMERIE LS;;;20/01/2026 09:10:59;20/01/2026;20/01/2026 09:25:02;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
b0b6b78f-4b88-47d1-bf7d-8a6b9bb02662;110;;15581577;CMD LC DPH;;;20/01/2026 09:00:06;20/01/2026;20/01/2026 09:11:37;;;en attente de livraison;esfieglo;esfieglo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
3a75b584-8bd3-41e4-87a9-f6bffabb3b0a;110;;79529182;CMD LC;;;20/01/2026 08:34:56;20/01/2026;20/01/2026 08:37:25;;;en attente de livraison;ajbrindou;ajbrindou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;RÉASSORT;OUI;OUI
